18;[18,25[;[18,35[;[18,93[
19;[18,25[;[18,35[;[18,93[
20;[18,25[;[18,35[;[18,93[
21;[18,25[;[18,35[;[18,93[
22;[18,25[;[18,35[;[18,93[
23;[18,25[;[18,35[;[18,93[
24;[18,25[;[18,35[;[18,93[
25;[25,35[;[18,35[;[18,93[
26;[25,35[;[18,35[;[18,93[
27;[25,35[;[18,35[;[18,93[
28;[25,35[;[18,35[;[18,93[
29;[25,35[;[18,35[;[18,93[
30;[25,35[;[18,35[;[18,93[
31;[25,35[;[18,35[;[18,93[
32;[25,35[;[18,35[;[18,93[
33;[25,35[;[18,35[;[18,93[
34;[25,35[;[18,35[;[18,93[
35;[35,45[;[35,55[;[18,93[
36;[35,45[;[35,55[;[18,93[
37;[35,45[;[35,55[;[18,93[
38;[35,45[;[35,55[;[18,93[
39;[35,45[;[35,55[;[18,93[
40;[35,45[;[35,55[;[18,93[
41;[35,45[;[35,55[;[18,93[
42;[35,45[;[35,55[;[18,93[
43;[35,45[;[35,55[;[18,93[
44;[35,45[;[35,55[;[18,93[
45;[45,55[;[35,55[;[18,93[
46;[45,55[;[35,55[;[18,93[
47;[45,55[;[35,55[;[18,93[
48;[45,55[;[35,55[;[18,93[
49;[45,55[;[35,55[;[18,93[
50;[45,55[;[35,55[;[18,93[
51;[45,55[;[35,55[;[18,93[
52;[45,55[;[35,55[;[18,93[
53;[45,55[;[35,55[;[18,93[
54;[45,55[;[35,55[;[18,93[
55;[55,93[;[55,93[;[18,93[
56;[55,93[;[55,93[;[18,93[
57;[55,93[;[55,93[;[18,93[
58;[55,93[;[55,93[;[18,93[
59;[55,93[;[55,93[;[18,93[
60;[55,93[;[55,93[;[18,93[
61;[55,93[;[55,93[;[18,93[
62;[55,93[;[55,93[;[18,93[
63;[55,93[;[55,93[;[18,93[
64;[55,93[;[55,93[;[18,93[
65;[55,93[;[55,93[;[18,93[
66;[55,93[;[55,93[;[18,93[
67;[55,93[;[55,93[;[18,93[
68;[55,93[;[55,93[;[18,93[
69;[55,93[;[55,93[;[18,93[
70;[55,93[;[55,93[;[18,93[
71;[55,93[;[55,93[;[18,93[
72;[55,93[;[55,93[;[18,93[
73;[55,93[;[55,93[;[18,93[
74;[55,93[;[55,93[;[18,93[
75;[55,93[;[55,93[;[18,93[
76;[55,93[;[55,93[;[18,93[
77;[55,93[;[55,93[;[18,93[
78;[55,93[;[55,93[;[18,93[
79;[55,93[;[55,93[;[18,93[
80;[55,93[;[55,93[;[18,93[
81;[55,93[;[55,93[;[18,93[
82;[55,93[;[55,93[;[18,93[
83;[55,93[;[55,93[;[18,93[
84;[55,93[;[55,93[;[18,93[
85;[55,93[;[55,93[;[18,93[
86;[55,93[;[55,93[;[18,93[
87;[55,93[;[55,93[;[18,93[
88;[55,93[;[55,93[;[18,93[
89;[55,93[;[55,93[;[18,93[
90;[55,93[;[55,93[;[18,93[
91;[55,93[;[55,93[;[18,93[
92;[55,93[;[55,93[;[18,93[
